name,awards,oscar_wins_and_nominations,other_wins,other_nominations,total_awards_and_nominations
Pirates of the Caribbean: Dead Man's Chest,Won 1 Oscar. 45 wins & 54 nominations total,1,45,54,100
Fast Food Nation,1 win & 3 nominations.,0,1,3,4
Mission: Impossible III,7 wins & 14 nominations.,0,7,14,21
Penelope,,0,0,0,0
Peaceful Warrior,,0,0,0,0
"Paris, je t'aime",3 wins & 2 nominations.,0,3,2,5
Find Me Guilty,1 win & 2 nominations.,0,1,2,3
Paprika,,0,0,0,0
Firewall,3 nominations.,0,0,3,3
See No Evil,3 nominations,0,0,3,3
Dreamgirls,Won 2 Oscars. 67 wins & 92 nominations total,2,67,92,161
A Good Year,1 win & 2 nominations.,0,1,2,3
Volver,Nominated for 1 Oscar. Another 61 wins & 93 nominations.,1,61,93,155
Talladega Nights: The Ballad of Ricky Bobby,8 wins & 9 nominations.,0,8,9,17
Criaturas rastreras,,0,0,0,0
Take the Lead,1 win & 6 nominations,0,1,6,7
Van Wilder 2: The Rise of Taj,1 nomination.,0,0,1,1
Superman Returns,Nominated for 1 Oscar. Another 12 wins & 46 nominations.,1,12,46,59
ATL,7 nominations.,0,0,7,7
Cuentos de Terramar,,0,0,0,0
Lucky Number Slevin,5 wins & 4 nominations.,0,5,4,9
Curious George,1 nomination.,0,0,1,1
Curse of the Golden Flower,Nominated for 1 Oscar. Another 20 wins & 33 nominations.,1,20,33,54
Hatchet,6 wins & 1 nomination.,0,6,1,7
DOA: Dead or Alive,1 nomination,0,0,1,1
Stranger Than Fiction,3 wins & 15 nominations,0,3,15,18
Step Up,1 win & 3 nominations,0,1,3,4
Crank,2 wins & 2 nominations.,0,2,2,4
Accepted,4 nominations.,0,0,4,4
United 93,Nominated for 2 Oscars. Another 29 wins & 55 nominations.,2,29,55,86
Clerks II,3 wins & 3 nominations,0,3,3,6
Click,Nominated for 1 Oscar. 3 wins & 12 nominations total,1,3,12,16
Little Children,Nominated for 3 Oscars. Another 20 wins & 58 nominations.,3,20,58,81
The Benchwarmers,7 nominations.,0,0,7,7
Underworld: Evolution,2 wins & 6 nominations.,0,2,6,8
Little Miss Sunshine,Won 2 Oscars. Another 70 wins & 112 nominations.,2,70,112,184
The Astronaut Farmer,,0,0,0,0
Littleman,,0,0,0,0
The Ant Bully,1 win & 4 nominations.,0,1,4,5
Terror en Silent Hill,,0,0,0,0
Tenacious D in The Pick of Destiny,2 nominations.,0,0,2,2
Date Movie,4 wins & 1 nomination,0,4,1,5
Vida salvaje,,0,0,0,0
Stay Alive,,0,0,0,0
Man of the Year,1 nomination.,0,0,1,1
Something New,4 wins & 10 nominations.,0,4,10,14
Deja Vu,1 win & 6 nominations,0,1,6,7
Smokin' Aces,4 wins.,0,4,0,4
Happy Feet,Won 1 Oscar. Another 19 wins & 26 nominations.,1,19,26,46
Destino final 3,,0,0,0,0
We Are Marshall,1 nomination.,0,0,1,1
Diamante de sangre,,0,0,0,0
Deck the Halls,1 win & 8 nominations,0,1,8,9
When a Stranger Calls,3 nominations,0,0,3,3
She's the Man,2 wins & 5 nominations.,0,2,5,7
Marie Antoinette,Won 1 Oscar. Another 18 wins & 23 nominations.,1,18,23,42
Severance,3 wins & 2 nominations.,0,3,2,5
A Guide to Recognizing Your Saints,8 wins & 9 nominations.,0,8,9,17
Serpientes a bordo,,0,0,0,0
A Scanner Darkly,4 wins & 21 nominations,0,4,21,25
Despu�s de la boda,,0,0,0,0
Starter for 10,1 win & 3 nominations.,0,1,3,4
Madea's Family Reunion,7 nominations.,0,0,7,7
Sospechas mortales,,0,0,0,0
Southland Tales,1 win & 3 nominations.,0,1,3,4
Two for the Money,2 nominations.,0,0,2,2
Junebug,Nominated for 1 Oscar. Another 21 wins & 27 nominations.,1,21,27,49
The White Countess,2 nominations.,0,0,2,2
"Yours, Mine & Ours",2 wins & 4 nominations.,0,2,4,6
Thumbsucker,5 wins & 5 nominations,0,5,5,10
White Noise,1 win & 2 nominations,0,1,2,3
Jarhead,6 wins & 12 nominations.,0,6,12,18
Three Burials,5 wins & 9 nominations.,0,5,9,14
Tideland,1 win & 12 nominations.,0,1,12,13
Tsotsi,Won 1 Oscar. Another 22 wins & 18 nominations.,1,22,18,41
Waiting...,,0,0,0,0
The Wedding Date,,0,0,0,0
Into the Blue,1 win & 2 nominations.,0,1,2,3
xXx: State of the Union,1 nomination,0,0,1,1
Wedding Crashers,11 wins & 11 nominations.,0,11,11,22
Unleashed,1 nomination,0,0,1,1
Winter Passing,,0,0,0,0
The Weather Man,,0,0,0,0
V for Vendetta,7 wins & 29 nominations,0,7,29,36
Wolf Creek,3 wins & 26 nominations.,0,3,26,29
Transporter 2,,0,0,0,0
Zathura: A Space Adventure,2 wins & 3 nominations,0,2,3,5
War of the Worlds,Nominated for 3 Oscars. Another 16 wins & 46 nominations.,3,16,46,65
The World's Fastest Indian,11 wins & 6 nominations.,0,11,6,17
Joyeux Noel,Nominated for 1 Oscar. Another 6 wins & 11 nominations.,1,6,11,18
Valiant,2 nominations.,0,0,2,2
Tierra de los muertos,,0,0,0,0
Transamerica,Nominated for 2 Oscars. Another 32 wins & 24 nominations.,2,32,24,58
The Zodiac,,0,0,0,0
Walk the Line,Won 1 Oscar. Another 43 wins & 48 nominations.,1,43,48,92
Venom,3 wins & 9 nominations.,0,3,9,12
Mrs Henderson Presents,,0,0,0,0
The Upside of Anger,5 wins & 13 nominations.,0,5,13,18
Just Friends,3 nominations.,0,0,3,3
Match Point,Nominated for 1 Oscar. 12 wins & 32 nominations total,1,12,32,45
Serenity,9 wins & 10 nominations,0,9,10,19
Marilyn Hotchkiss' Ballroom Dancing & Charm School,1 nomination.,0,0,1,1
Shadowboxer,1 win & 2 nominations.,0,1,2,3
Shopgirl,1 win & 7 nominations.,0,1,7,8
Man-Thing,,0,0,0,0
Si te casas... te mato,,0,0,0,0
Sin City,38 wins & 54 nominations.,0,38,54,92
Sky High,1 nomination.,0,0,1,1
Son of the Mask,7 wins & 12 nominations.,0,7,12,19
Star Wars: Episode III - Revenge of the Sith,Nominated for 1 Oscar. Another 26 wins & 62 nominations.,1,26,62,89
Madagascar,4 wins & 32 nominations.,0,4,32,36
Stay,1 nomination.,0,0,1,1
Stealth,2 nominations.,0,0,2,2
Strangers with Candy,,0,0,0,0
Lovewrecked,,0,0,0,0
Supercross,,0,0,0,0
Syriana,Won 1 Oscar. Another 12 wins & 30 nominations.,1,12,30,43
Tamara,1 nomination.,0,0,1,1
Lords of Dogtown,1 win & 7 nominations,0,1,7,8
Lord of War,2 wins & 3 nominations,0,2,3,5
Saw II,4 wins & 11 nominations,0,4,11,15
Sahara,2 wins & 5 nominations,0,2,5,7
Must Love Dogs,1 nomination.,0,0,1,1
Nanny McPhee,3 wins & 4 nominations.,0,3,4,7
Mr. & Mrs. Smith,9 wins & 18 nominations.,0,9,18,27
North Country,Nominated for 2 Oscars. Another 5 wins & 18 nominations.,2,5,18,25
Oliver Twist,2 wins & 4 nominations,0,2,4,6
Paradise Now,Nominated for 1 Oscar. Another 13 wins & 16 nominations.,1,13,16,30
Miss Congeniality 2: Armed and Fabulous,,0,0,0,0
Pretty Persuasion,1 win & 2 nominations.,0,1,2,3
Pride & Prejudice,Won 1 BAFTA Film Award. Another 9 wins & 23 nominations.,0,10,23,33
Prime,1 nomination,0,0,1,1
Mirrormask,5 wins & 2 nominations,0,5,2,7
Rumor Has It...,,0,0,0,0
Racing Stripes,3 nominations.,0,0,3,3
Rebound,2 nominations.,0,0,2,2
Red Eye,2 wins & 9 nominations.,0,2,9,11
Regresiones de un hombre muerto,,0,0,0,0
Rent,1 win & 21 nominations,0,1,21,22
Memoirs of a Geisha,Won 3 Oscars. Another 29 wins & 47 nominations.,3,29,47,79
Revolver,1 win,0,1,0,1
Robots,2 wins & 22 nominations.,0,2,22,24
Me and You and Everyone We Know,22 wins & 15 nominations,0,22,15,37
Roll Bounce,2 wins & 6 nominations.,0,2,6,8
Romance & Cigarettes,1 nomination.,0,0,1,1
London,1 win & 1 nomination.,0,1,1,2
Thank You for Smoking,12 wins & 32 nominations,0,12,32,44
The 40-Year-Old Virgin,10 wins & 19 nominations,0,10,19,29
The Perfect Man,2 wins & 3 nominations.,0,2,3,5
The Legend of Zorro,2 wins & 3 nominations.,0,2,3,5
The Longest Yard,3 wins & 17 nominations,0,3,17,20
The Man,1 win & 1 nomination.,0,1,1,2
The Matador,1 win & 6 nominations,0,1,6,7
The New World,Nominated for 1 Oscar. Another 6 wins & 33 nominations.,1,6,33,40
The Notorious Bettie Page,4 nominations,0,0,4,4
Kiss Kiss Bang Bang,5 wins & 16 nominations.,0,5,16,21
Kinky Boots,1 win & 7 nominations.,0,1,7,8
The Pacifier,1 win & 10 nominations.,0,1,10,11
Kingdom of Heaven,5 wins & 15 nominations.,0,5,15,20
King Kong,Won 3 Oscars. Another 43 wins & 104 nominations.,3,43,104,150
The Producers,Won 1 Oscar. Another 2 wins & 5 nominations.,1,2,5,8
The Island,1 win & 6 nominations.,0,1,6,7
The Quiet,1 win.,0,1,0,1
The Ring Two,2 wins & 11 nominations.,0,2,11,13
The Ringer,1 nomination,0,0,1,1
Kicking & Screaming,6 nominations,0,0,6,6
Keeping Mum,1 win & 5 nominations,0,1,5,6
The Sisterhood of the Traveling Pants,1 win & 14 nominations.,0,1,14,15
The Skeleton Key,5 nominations,0,0,5,5
Just Like Heaven,1 win & 1 nomination,0,1,1,2
The Squid and the Whale,Nominated for 1 Oscar. 23 wins & 49 nominations total,1,23,49,73
L'enfant,3 nominations,0,0,3,3
The Interpreter,3 wins & 2 nominations,0,3,2,5
The Adventures of Sharkboy and Lavagirl 3-D,1 win & 10 nominations,0,1,10,11
The Descent,8 wins & 22 nominations,0,8,22,30
The Amityville Horror,2 wins & 4 nominations.,0,2,4,6
Little Manhattan,,0,0,0,0
The Ballad of Jack and Rose,3 wins & 6 nominations.,0,3,6,9
The Brothers Grimm,4 wins & 5 nominations.,0,4,5,9
The Cave,,0,0,0,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Won 1 Oscar. Another 17 wins & 46 nominations.,1,17,46,64
The Chumscrubber,1 nomination.,0,0,1,1
The Constant Gardener,Won 1 Oscar. 35 wins & 69 nominations total,1,35,69,105
Munich,Nominated for 5 Oscars. Another 14 wins & 70 nominations.,5,14,70,89
The Death of Mr. Lazarescu,30 wins & 14 nominations.,0,30,14,44
The Devil's Rejects,10 wins & 8 nominations.,0,10,8,18
La casa de cera,,0,0,0,0
The Dukes of Hazzard,5 wins & 14 nominations,0,5,14,19
The Exorcism of Emily Rose,4 wins & 9 nominations.,0,4,9,13
The Family Stone,4 wins & 8 nominations,0,4,8,12
The Fog,1 win & 2 nominations.,0,1,2,3
Last Days,3 wins & 5 nominations.,0,3,5,8
The Great Raid,1 nomination.,0,0,1,1
The Greatest Game Ever Played,3 nominations.,0,0,3,3
Lady Vengeance,12 wins & 13 nominations.,0,12,13,25
The Hitchhiker's Guide to the Galaxy,1 win & 10 nominations,0,1,10,11
La mujer de mi hermano,,0,0,0,0
La marca de la bestia,,0,0,0,0
The Curse of the Were-Rabbit,Won 1 Oscar. Another 39 wins & 25 nominations.,1,39,25,65
�on Flux,,0,0,0,0
Dark Water,6 nominations.,0,0,6,6
Imagine Me & You,,0,0,0,0
Harry Potter and the Goblet of Fire,Nominated for 1 Oscar. Another 13 wins & 43 nominations.,1,13,43,57
Alone in the Dark,4 wins & 3 nominations.,0,4,3,7
Cry_Wolf,,0,0,0,0
Capote,Won 1 Oscar. Another 58 wins & 89 nominations.,1,58,89,148
Bewitched,2 wins & 13 nominations.,0,2,13,15
Harsh Times,2 nominations.,0,0,2,2
Casanova,5 wins & 3 nominations.,0,5,3,8
Dirty Deeds,,0,0,0,0
Herbie Fully Loaded,2 wins & 6 nominations.,0,2,6,8
Get Rich or Die Tryin',6 wins & 3 nominations.,0,6,3,9
Feast,1 win.,0,1,0,1
Dirty Love,4 wins & 7 nominations.,0,4,7,11
Bad News Bears,1 win & 4 nominations.,0,1,4,5
Goal! The Dream Begins,1 win & 6 nominations.,0,1,6,7
Hostel,6 wins & 14 nominations.,0,6,14,20
Angel-A,,0,0,0,0
Guess Who,16 nominations,0,0,16,16
Hostage,4 nominations.,0,0,4,4
Diary of a Mad Black Woman,13 wins & 13 nominations.,0,13,13,26
In Her Shoes,1 win & 7 nominations,0,1,7,8
Ice Princess,,0,0,0,0
Brokeback Mountain,Won 3 Oscars. Another 138 wins & 132 nominations.,3,138,132,273
Brick,11 wins & 23 nominations.,0,11,23,34
Broken Flowers,5 wins & 14 nominations.,0,5,14,19
Breakfast on Pluto,6 wins & 17 nominations.,0,6,17,23
Elizabethtown,2 wins & 4 nominations.,0,2,4,6
Beowulf & Grendel,3 wins & 19 nominations,0,3,19,22
Derailed,,0,0,0,0
Because of Winn-Dixie,2 nominations.,0,0,2,2
Beauty Shop,15 nominations,0,0,15,15
Everything Is Illuminated,7 wins & 6 nominations,0,7,6,13
Elektra,2 nominations.,0,0,2,2
Be Cool,1 win & 13 nominations.,0,1,13,14
Deuce Bigalow: European Gigolo,3 wins & 10 nominations.,0,3,10,13
Boogeyman,,0,0,0,0
Cach�,,0,0,0,0
Batman Begins,Nominated for 1 Oscar. 13 wins & 79 nominations total,1,13,79,93
Hard Candy,10 wins & 13 nominations,0,10,13,23
An Unfinished Life,3 wins & 1 nomination,0,3,1,4
A History of Violence,Nominated for 2 Oscars. 37 wins & 84 nominations total,2,37,84,123
Fun with Dick and Jane,1 win & 7 nominations.,0,1,7,8
Doom,3 nominations.,0,0,3,3
Green Street Hooligans,,0,0,0,0
Are We There Yet?,1 win & 8 nominations.,0,1,8,9
Dominion: Prequel to the Exorcist,,0,0,0,0
Hitch,4 wins & 24 nominations,0,4,24,28
Chicken Little,4 wins & 15 nominations.,0,4,15,19
Hide and Seek,1 win & 5 nominations.,0,1,5,6
Assault on Precinct 13,1 win & 2 nominations.,0,1,2,3
Cheaper by the Dozen 2,1 win & 5 nominations.,0,1,5,6
Flightplan,2 wins & 6 nominations,0,2,6,8
A Lot Like Love,1 win & 3 nominations.,0,1,3,4
"Good Night, and Good Luck.",Nominated for 6 Oscars. 38 wins & 129 nominations total,6,38,129,173
Cinderella Man,Nominated for 3 Oscars. Another 16 wins & 42 nominations.,3,16,42,61
Dreamer: Inspired by a True Story,,0,0,0,0
Hoodwinked!,1 nomination,0,0,1,1
BloodRayne,4 wins & 11 nominations,0,4,11,15
Four Brothers,5 wins & 9 nominations,0,5,9,14
Coach Carter,3 wins & 15 nominations,0,3,15,18
Constantine,2 wins & 10 nominations,0,2,10,12
An American Haunting,5 nominations.,0,0,5,5
Corpse Bride,Nominated for 1 Oscar. 9 wins & 30 nominations total,1,9,30,40
A Sound of Thunder,4 nominations,0,0,4,4
Charlie and the Chocolate Factory,Nominated for 1 Oscar. 15 wins & 52 nominations total,1,15,52,68
Adam's Apples,20 wins & 13 nominations.,0,20,13,33
Asylum,2 wins.,0,2,0,2
Domino,2 wins.,0,2,0,2
Million Dollar Baby,Won 4 Oscars. 67 wins & 86 nominations total,4,67,86,157
The Notebook,12 wins & 10 nominations.,0,12,10,22
Kill Bill: Vol. 2,23 wins & 84 nominations.,0,23,84,107
Godsend,,0,0,0,0
The Life Aquatic with Steve Zissou,3 wins & 10 nominations,0,3,10,13
Ella Enchanted,1 nomination.,0,0,1,1
Enduring Love,4 wins & 12 nominations.,0,4,12,16
The Libertine,2 wins & 8 nominations.,0,2,8,10
Ray,Won 2 Oscars. Another 51 wins & 54 nominations.,2,51,54,107
Raising Helen,1 nomination.,0,0,1,1
Saved!,1 win & 6 nominations,0,1,6,7
Raise Your Voice,2 wins & 3 nominations.,0,2,3,5
The Passion of the Christ,Nominated for 3 Oscars. Another 29 wins & 21 nominations.,3,29,21,53
Hellboy,3 wins & 23 nominations.,0,3,23,26
El aviador,,0,0,0,0
Resident Evil: Apocalypse,6 wins & 3 nominations.,0,6,3,9
The Motorcycle Diaries,Won 1 Oscar. Another 35 wins & 49 nominations.,1,35,49,85
Beyond the Sea,Nominated for 1 Golden Globe. Another 6 nominations.,0,0,7,7
Rory O'Shea Was Here,5 wins & 8 nominations.,0,5,8,13
A Cinderella Story,6 wins & 8 nominations,0,6,8,14
Torque,4 nominations.,0,0,4,4
We Don't Live Here Anymore,2 wins & 4 nominations,0,2,4,6
The Machinist,7 wins & 15 nominations,0,7,15,22
The Merchant of Venice,2 wins & 7 nominations total,0,2,7,9
Win a Date with Tad Hamilton!,8 nominations.,0,0,8,8
Wimbledon,1 nomination.,0,0,1,1
Howl's Moving Castle,Nominated for 1 Oscar. Another 14 wins & 19 nominations.,1,14,19,34
Riding the Bullet,1 nomination.,0,0,1,1
Layer Cake,2 wins & 9 nominations.,0,2,9,11
Birth,Nominated for 1 Golden Globe. Another 2 wins & 17 nominations.,0,2,18,20
The Manchurian Candidate,Nominated for 1 BAFTA Film Award. Another 1 win & 11 nominations.,0,1,12,13
Miracle,2 wins & 4 nominations.,0,2,4,6
Saint Ralph,6 wins & 9 nominations.,0,6,9,15
Millions,2 wins & 7 nominations.,0,2,7,9
Envy,3 nominations,0,0,3,3
Modigliani,2 nominations.,0,0,2,2
The Perfect Score,1 nomination.,0,0,1,1
Bad Education,Nominated for 1 BAFTA Film Award. Another 16 wins & 41 nominations.,0,16,42,58
Finding Neverland,Won 1 Oscar. Another 18 wins & 81 nominations.,1,18,81,100
First Daughter,,0,0,0,0
A Home at the End of the World,1 win & 5 nominations.,0,1,5,6
A Love Song for Bobby Long,Nominated for 1 Golden Globe. Another 3 nominations.,0,0,4,4
P.S.,3 wins & 4 nominations.,0,3,4,7
The SpongeBob SquarePants Movie,1 win & 10 nominations.,0,1,10,11
Las leyes de atracci�n,,0,0,0,0
My Summer of Love,9 wins & 20 nominations.,0,9,20,29
The Stepford Wives,3 wins.,0,3,0,3
Flight of the Phoenix,2 nominations.,0,0,2,2
Garfield,1 win & 1 nomination.,0,1,1,2
La isla maldita,,0,0,0,0
Garden State,13 wins & 39 nominations,0,13,39,52
Before Sunset,Nominated for 1 Oscar. 9 wins & 32 nominations total,1,9,32,42
The Terminal,7 wins & 8 nominations.,0,7,8,15
Napoleon Dynamite,10 wins & 23 nominations.,0,10,23,33
Home on the Range,5 nominations.,0,0,5,5
Ocean's Twelve,4 wins & 10 nominations,0,4,10,14
The Woodsman,7 wins & 20 nominations,0,7,20,27
National Treasure,1 win & 9 nominations.,0,1,9,10
The Village,Nominated for 1 Oscar. Another 4 wins & 23 nominations.,1,4,23,28
Around the World in 80 Days,2 wins & 2 nominations,0,2,2,4
Ladder 49,1 win & 7 nominations.,0,1,7,8
Ladies in Lavender,3 nominations.,0,0,3,3
Night Watch,2 wins & 10 nominations.,0,2,10,12
The Whole Ten Yards,1 win & 1 nomination.,0,1,1,2
New York Minute,6 nominations,0,0,6,6
Highwaymen,2 nominations.,0,0,2,2
Kung Fu Hustle,Nominated for 1 BAFTA Film Award. Another 25 wins & 46 nominations.,0,25,47,72
Anchorman: The Legend of Ron Burgundy,1 win & 13 nominations.,0,1,13,14
The Sea Inside,Won 1 Oscar. Another 67 wins & 38 nominations.,1,67,38,106
King Arthur,4 wins & 8 nominations,0,4,8,12
Wicker Park,1 nomination,0,0,1,1
Eros,1 win & 1 nomination,0,1,1,2
A Dirty Shame,1 win.,0,1,0,1
Eternal Sunshine of the Spotless Mind,Won 1 Oscar. 73 wins & 111 nominations total,1,73,111,185
The Polar Express,Nominated for 3 Oscars. Another 5 wins & 23 nominations.,3,5,23,31
Eulogy,,0,0,0,0
EuroTrip,2 nominations.,0,0,2,2
The Prince and Me,,0,0,0,0
The Princess Diaries 2: Royal Engagement,1 win & 2 nominations.,0,1,2,3
Kinsey,Nominated for 1 Oscar. Another 17 wins & 50 nominations.,1,17,50,68
Primer,3 wins & 7 nominations.,0,3,7,10
Exorcist: The Beginning,6 nominations,0,0,6,6
Saw,8 wins & 10 nominations,0,8,10,18
House of Flying Daggers,Nominated for 1 Oscar. Another 26 wins & 73 nominations.,1,26,73,100
House of D,,0,0,0,0
Mr 3000,1 win & 5 nominations,0,1,5,6
Welcome to Mooseport,,0,0,0,0
Anacondas: The Hunt for the Blood Orchid,2 nominations.,0,0,2,2
Ghost in the Shell 2: Innocence,6 wins & 8 nominations.,0,6,8,14
White Chicks,3 wins & 13 nominations.,0,3,13,16
Fat Albert,1 nomination.,0,0,1,1
Thunderbirds,1 win & 1 nomination,0,1,1,2
Hotel Rwanda,Nominated for 3 Oscars. 16 wins & 49 nominations total,3,16,49,68
Three... Extremes,5 wins & 14 nominations.,0,5,14,19
Barbershop 2: Back in Business,2 wins & 10 nominations.,0,2,10,12
A Good Woman,3 nominations,0,0,3,3
Saving Face,3 wins & 3 nominations.,0,3,3,6
Secret Window,3 nominations,0,0,3,3
Steamboy,3 wins.,0,3,0,3
Starsky & Hutch,3 wins & 10 nominations,0,3,10,13
D.E.B.S.,1 win & 2 nominations.,0,1,2,3
Harold & Kumar Go to White Castle,,0,0,0,0
Undertow,3 wins & 6 nominations.,0,3,6,9
The Final Cut,1 win & 4 nominations,0,1,4,5
You Got Served,1 win & 5 nominations.,0,1,5,6
Van Helsing,3 wins & 21 nominations.,0,3,21,24
The Forgotten,7 nominations.,0,0,7,7
13 Going on 30,11 nominations.,0,0,11,11
AVP: Alien vs. Predator,,0,0,0,0
Dawn of the Dead,1 win & 17 nominations.,0,1,17,18
The Girl Next Door,2 wins & 4 nominations.,0,2,4,6
3-Iron,16 wins & 11 nominations.,0,16,11,27
Superbabies: Baby Geniuses 2,13 nominations.,0,0,13,13
De-Lovely,Nominated for 2 Golden Globes. Another 2 wins & 11 nominations.,0,2,13,15
Alexander,6 wins & 19 nominations.,0,6,19,25
Walking Tall,2 nominations,0,0,2,2
Stage Beauty,4 wins & 1 nomination.,0,4,1,5
Alfie,Won 1 Golden Globe. Another 6 wins & 8 nominations.,0,7,8,15
Two Brothers,,0,0,0,0
Spider-Man 2,Won 1 Oscar. Another 24 wins & 60 nominations.,1,24,60,85
Dear Frankie,8 wins & 8 nominations.,0,8,8,16
Spanglish,5 wins & 15 nominations.,0,5,15,20
Summer Storm,4 wins & 4 nominations.,0,4,4,8
Collateral,Nominated for 2 Oscars. Another 22 wins & 71 nominations.,2,22,71,95
The Grudge,2 wins & 10 nominations.,0,2,10,12
After the Sunset,1 nomination.,0,0,1,1
Chasing Liberty,5 nominations.,0,0,5,5
Head in the Clouds,7 wins & 5 nominations.,0,7,5,12
Connie and Carla,1 win,0,1,0,1
Lila Says,,0,0,0,0
Team America: World Police,1 win & 11 nominations.,0,1,11,12
2046,38 wins & 81 nominations.,0,38,81,119
Ma m�re,,0,0,0,0
In Good Company,2 wins & 8 nominations.,0,2,8,10
The Alamo,1 nomination.,0,0,1,1
The Day After Tomorrow,Won 1 BAFTA Film Award. Another 5 wins & 12 nominations.,0,6,12,18
Crash,Won 3 Oscars. Another 63 wins & 112 nominations.,3,63,112,178
Harry Potter and the Prisoner of Azkaban,Nominated for 2 Oscars. Another 17 wins & 51 nominations.,2,17,51,70
Cellular,2 nominations.,0,0,2,2
Yu-Gi-Oh!: The Movie,,0,0,0,0
Taking Lives,4 nominations,0,0,4,4
Catwoman,13 wins & 8 nominations,0,13,8,21
It's All Gone Pete Tong,11 wins & 9 nominations.,0,11,9,20
Catch That Kid,1 nomination.,0,0,1,1
The Clearing,1 nomination,0,0,1,1
The Door in the Floor,2 wins & 7 nominations.,0,2,7,9
Agent Cody Banks 2: Destination London,,0,0,0,0
Suspect Zero,,0,0,0,0
Surviving Christmas,2 wins & 5 nominations.,0,2,5,7
Jersey Girl,2 wins & 8 nominations,0,2,8,10
Spartan,,0,0,0,0
A Series of Unfortunate Events,Won 1 Oscar. 10 wins & 28 nominations total,1,10,28,39
Meet the Fockers,2 wins & 7 nominations,0,2,7,9
Shaun of the Dead,13 wins & 20 nominations.,0,13,20,33
Vera Drake,Nominated for 3 Oscars. Another 41 wins & 42 nominations.,3,41,42,86
Mean Creek,4 wins & 6 nominations,0,4,6,10
Christmas with the Kranks,3 wins & 4 nominations.,0,3,4,7
Shark Tale,Nominated for 1 Oscar. Another 3 wins & 15 nominations.,1,3,15,19
District B13,1 win & 1 nomination.,0,1,1,2
Hidalgo,1 win & 2 nominations.,0,1,2,3
Shall We Dance,7 nominations.,0,0,7,7
Mean Girls,7 wins & 25 nominations.,0,7,25,32
Troy,Nominated for 1 Oscar. Another 5 wins & 22 nominations.,1,5,22,28
Dodgeball: A True Underdog Story,2 wins & 9 nominations.,0,2,9,11
Juego de viernes por la noche,,0,0,0,0
Chucky 5: El Hijo de Chucky,,0,0,0,0
The Butterfly Effect,1 win & 8 nominations.,0,1,8,9
Dirty Dancing: Havana Nights,1 nomination,0,0,1,1
"Julia, una mujer seductora",,0,0,0,0
The Ladykillers,6 wins & 4 nominations.,0,6,4,10
The Big Bounce,,0,0,0,0
I Heart Huckabees,3 wins & 11 nominations.,0,3,11,14
Melinda and Melinda,,0,0,0,0
A Very Long Engagement,2 wins & 1 nomination.,0,2,1,3
